Date,FLOW,TSS,NH4,COD,BOD5,PH,WTEM,TURB,EC,RAIN,TEST,CASE,POSI,SARS,VACC,ATEM,LogSARS
3/22/2022,187320,44956800,2247840,63688800,26224800,7.1,9,20792520,1630,0,1537,270,17.57,3476,247,-2.9,3.541079768
3/23/2022,201168,60350400,2494483.2,78455520,38221920,7.1,9,41440608,1482,1.2,1572,279,17.75,9435,364,-2.6,3.974741905
3/24/2022,189648,49308480,2579212.8,75859200,37929600,7,9.1,22757760,1961,9.1,1623,273,16.82,6172,875,-0.3,3.790425917
3/25/2022,250872,90313920,2609068.8,102857520,42082002.15,7.1,8.4,41895624,2150,12.5,1864,259,13.89,12892,810,0.2,4.110320297
3/26/2022,284040,88052400,2766549.6,90892800,50066226.84,7.1,8.2,36073080,1866,10.5,1285,196,15.25,13232,742,1.9,4.121625492
3/27/2022,279816,67155840,2543527.44,86742960,44770560,7.1,8.3,29380680,1423,7.5,1349,198,14.68,10858,757,-1.5,4.035749837
3/28/2022,203928,44864160,2182029.6,57099840,28549920,7.1,8.9,18537055.2,1707,0,1890,332,17.57,8382,221,-8.4,3.923347656
3/29/2022,177336,42560640,2340835.2,54974160,31920480,7.1,9.1,16474514.4,1664,0,2319,376,16.21,32535,93,-7.3,4.512350811
3/30/2022,195312,68359200,2656243.2,83984160,39062400,7.1,9,7851542.4,1554,0,2261,439,19.42,8886,366,-4.7,3.948706309
3/31/2022,238368,71510400,2669721.6,121567680,45289920,7.1,8.6,35516832,2010,5.1,2180,343,15.73,19345,816,-0.2,4.286568734
4/1/2022,334800,87048000,2671704,117180000,54044143.72,7.2,7.9,42519600,1263,1.4,2235,343,15.35,2033,726,1.8,3.308137379
4/2/2022,323544,74415120,2193628.32,103534080,54880454.28,7.2,8.1,36560472,1399,0.1,1816,316,17.4,20718,726,0.9,4.316347829
4/3/2022,319824,70361280,2142820.8,108740160,38378880,7.1,8.2,30958963.2,1512,0,1412,246,17.42,8466,1134,1.2,3.927678264
4/4/2022,363240,65383200,2281147.2,87177600,65383200,7.1,8.1,29495088,1471,0,2305,364,15.79,7929,849,3.2,3.899218418
4/5/2022,390720,70329600,2371670.4,82051200,42979200,7.2,7.9,48840000,1568,0,2495,413,16.55,7128,1040,0.7,3.852967691
4/6/2022,396672,59500800,2376065.28,67434240,24593664,7.2,7.9,27886041.6,1584,0,2056,312,15.18,4552,2453,0.6,3.658202253
4/7/2022,370680,63015600,2135116.8,77842800,27801000,7.2,8.1,27689796,1641,2.1,2835,369,13.02,8717,1337,2.7,3.940367046
4/8/2022,525216,89286720,1701699.84,84034560,48315245.1,7.3,6.3,34926864,1353,26.2,2116,287,13.56,31432,1109,1.2,4.497372016
4/9/2022,536304,69719520,2043318.24,69719520,51841604.18,7.2,7.1,27619656,1575,13.8,1733,234,13.5,12526,956,2.8,4.097812407
4/10/2022,604128,49538496,1872796.8,66454080,27789888,7.2,7,23138102.4,1354,1.9,1667,259,15.54,8667,1289,5,3.937868797
4/11/2022,549240,46136160,2054157.6,65908800,21420360,7.3,7.7,24331332,1548,0.2,2202,301,13.67,8546,1039,3.5,3.931762888
4/12/2022,587640,64640400,1962717.6,88146000,25856160,7.2,7.1,36903792,1421,4.5,2475,337,13.62,1526,2061,5.5,3.183554534
4/13/2022,523512,47639592,1931759.28,52351200,27222624,7.2,7.3,22249260,1502,0,2226,293,13.16,316,2581,4.3,2.499687083
4/14/2022,560688,84103200,2349282.72,84103200,29155776,7.2,7.2,38911747.2,1329,20,2320,276,11.9,1667,3055,4.1,3.2219356
4/15/2022,613680,46639680,1871724,49094400,31150683.16,7.3,7.2,23442576,1224,3.3,1885,220,11.67,123,1996,6.8,2.089905111
4/16/2022,522264,41781120,1786142.88,57449040,27857160.92,7.2,7.4,17495844,1375,1.4,1457,182,12.49,2106,1915,3.7,3.323458367
4/17/2022,414816,41481600,1866672,53926080,30696384,7.2,7.7,19869686.4,1482,0,1285,155,12.06,3097,17,2.9,3.490941205
4/18/2022,361176,57788160,2073150.24,72235200,35395248,7.2,8.1,29905372.8,1520,0,1901,252,13.26,1451,151,4.1,3.161667412
4/19/2022,411984,74157120,2224713.6,98876160,33370704,7.3,7.8,38808892.8,1330,11,1826,255,13.96,7072,2695,2.8,3.849542252
4/20/2022,393840,51199200,1973138.4,74829600,27174960,7.3,8,30325680,1320,6.2,2393,300,12.54,1211,3943,0.3,3.083144143
4/21/2022,371736,74347200,2412566.64,81781920,40890960,7.2,8.4,26393256,1339,15.2,2173,259,11.92,858,3492,4,2.933487288
4/22/2022,443640,48800400,1934270.4,62109600,39430473.76,7.3,8.2,14373936,1072,1.5,1824,213,11.68,9783,2851,5.1,3.990472054
4/23/2022,334584,46841760,2194871.04,60225120,31248388.39,7.3,8.4,27067845.6,1340,0,1383,142,10.27,9639,1795,4.5,3.98403198
4/24/2022,296496,50404320,2250404.64,71159040,29353104,7.2,8.7,19776283.2,1378,0,1327,139,10.47,11821,1436,4,4.072654217
4/25/2022,266688,53337600,2416193.28,74672640,26668800,7.2,8.9,21335040,1404,0.6,1930,199,10.31,1598,2336,7.9,3.203576775
4/26/2022,305088,70170240,2547484.8,94577280,33559680,7.2,9.1,37525824,1262,4.3,1798,187,10.4,1923,2582,10.4,3.283979284
4/27/2022,288480,72120000,2532854.4,95198400,37502400,7.2,9.3,51926400,1273,5.3,1681,166,9.88,1752,3329,6.2,3.243534102
4/28/2022,251016,107936880,2382141.84,145589280,52713360,7.2,9.3,132034416,1361,0,2053,165,8.04,4309,3703,5.5,3.634376494
4/29/2022,235416,94166400,2495409.6,120062160,35712123.73,7.2,9.5,48260280,1331,0,1432,137,9.57,1965,2957,4.8,3.293362555
4/30/2022,219768,98895600,2197680,136256160,35032030.77,7.1,9.6,65930400,1314,0,1171,120,10.25,5081,2051,8.1,3.705949195
5/1/2022,216864,88914240,2320444.8,117106560,49878720,6.9,9.7,37517472,1273,0,1054,88,8.35,5918,1358,7.5,3.772174961
5/2/2022,221736,139693680,2727352.8,148563120,75390240,7,9.9,62529552,1314,0,1459,145,9.94,224,2171,9.8,2.350248018
5/3/2022,203808,128399040,2669884.8,136551360,73370880,7,10.1,61142400,1385,0.3,1818,161,8.86,76,2457,11,1.880813592
5/4/2022,225432,94681440,2727727.2,123987600,51849360,7.1,10.5,45537264,1331,4,1435,108,7.53,216,2785,10.6,2.334453751
5/5/2022,187776,48821760,2628864,71354880,33799680,7.1,10.6,22533120,1306,0,1521,122,8.02,1355,2921,6.9,3.131939295
5/6/2022,190032,47508000,2603438.4,60810240,47676190.67,6.9,10.8,20143392,1279,0,1206,87,7.21,699,2360,6.4,2.844477176
5/7/2022,177912,40919760,2597515.2,49815360,46903063.19,6.8,10.7,15318223.2,1290,0,1030,73,7.09,293,1988,5.9,2.46686762
5/8/2022,170736,44391360,2526892.8,66587040,30732480,7,10.9,27659232,1274,0,1005,75,7.46,283,1564,8.2,2.451786436
5/9/2022,169416,47436480,2422648.8,66072240,28800720,7,11.2,21346416,1205,0,1404,93,6.62,199,2161,11.5,2.298853076
5/10/2022,161160,49959600,2449632,77356800,32232000,7.1,11.5,19983840,1183,0,1355,88,6.49,352,2230,13.5,2.546542663
5/11/2022,157560,44116800,2710032,63024000,25209600,7,11.7,24264240,1180,0,1266,75,5.92,598,2380,16.3,2.776701184
5/12/2022,159072,46130880,2656502.4,71582400,31814400,7,12.1,20361216,1160,0,1038,80,7.71,275,2645,19.1,2.439332694
5/13/2022,159912,46374480,2702512.8,60766560,29545392.16,7,12.4,22067856,1146,0,1164,51,4.38,503.7560568,2485,22.7,2.702220281
5/14/2022,159192,36614160,2722183.2,70044480,30906590.59,7,12.4,23560416,1132,0.4,858,46,5.36,728,1749,16.5,2.862131379
5/15/2022,201696,58491840,2702726.4,74627520,44373120,7,12.5,27632352,1098,8.9,834,48,5.76,1796,1186,16.15,3.254306332
5/16/2022,179040,48340800,2560272,75196800,34017600,7.1,12.5,16847664,1039,8.9,1013,59,5.82,1113,2115,15.8,3.046495164
5/17/2022,340224,88458240,2772825.6,95262720,44229120,7.1,12.3,32355302.4,731,13.8,1015,55,5.42,3851,1974,8.6,3.585573519
5/18/2022,193536,34836480,2535321.6,65802240,27095040,7.1,12.4,20514816,1062,0,1171,62,5.29,3579,2151,10.6,3.553761698
5/19/2022,170520,42630000,2574852,68208000,39219600,7,12.8,19439280,1097,0,921,67,7.27,726,1951,12.2,2.860936621
5/20/2022,167496,45223920,2512440,80398080,30295106.74,6.7,13,17922072,1074,0,785,43,5.48,237,1640,11.5,2.374748346
5/21/2022,240576,84201600,2838796.8,105853440,45723714.38,6.8,14.3,29350272,948,13,599,30,5.01,940,1451,20.1,2.973127854
5/22/2022,212352,78570240,2357107.2,87064320,50964480,7,13.9,30578688,903,0.3,728,40,5.49,961,1151,15.6,2.982723388
5/23/2022,171384,51415200,2467929.6,73695120,35990640,7,13.5,19709160,1033,0,905,69,7.62,1188,697,8.9,3.074816441
5/24/2022,156096,74926080,3043872,96779520,65560320,6.9,13.7,38399616,1039,0,951,74,7.78,1334,1388,10.4,3.12515583
5/25/2022,151248,42349440,2556091.2,75624000,27224640,6.9,13.9,18301008,1050,0,947,50,5.28,953,882,12.1,2.979092901
5/26/2022,238920,78843600,3703260,112292400,69286800,6.9,14.2,32493120,898,12.7,1009,58,5.75,3631,1355,12.8,3.560026249
5/27/2022,458952,133096080,2505877.92,133096080,109788658.1,7.1,14.2,46354152,560,42.2,736,41,5.57,437,937,13.7,2.640481437
5/28/2022,457008,59411040,2125087.2,77691360,114877551.1,7.2,12.9,26689267.2,705,12,675,47,6.96,2205,1034,14.4,3.343408594
5/29/2022,303096,57588240,2209569.84,69712080,39402480,7.1,13.4,24308299.2,888,5.2,698,38,5.44,2744,1063,15.1,3.438384107
5/30/2022,260472,65118000,1289336.4,78141600,39070800,7.1,13.7,16592066.4,700,19.1,892,55,6.17,3445,1221,14.5,3.537189226
